Designator	Footprint	Quantity	Value	LCSC Part #
BT1	BatteryHolder_Keystone_1060_1x2032	1	Battery_Cell	C70377
"C1, C10, C11, C12, C16, C2, C20, C21, C22, C23, C24, C25, C28, C3, C4, C5, C6, C7, C8, C9"	805	20	0.1uF	C1711
C13	805	1	10uF	C15850
"C14, C15"	805	2	1uF	C91185
"C17, C18"	805	2	10pF	C107107
C19	805	1	4.7uF	CL21A475KAQNNNE
C26	CP_Radial_D6.3mm_P2.50mm	1	47uF	EXR470M35B
C27	CP_Radial_D5.0mm_P2.50mm	1	10uF	RK1V100M-TSD11
C29	CP_Radial_D6.3mm_P2.50mm	1	100uF	RM1C101M-RBE07
"D1, D2, D3, D4, D6, D7"	D_SMA-SMB_Universal_Handsoldering	6	D	C2972759
D5	LED_D3.0mm	1	RED_LED	
FB1	805	1	600R	C341663
J1	PinHeader_1x04_P2.54mm_Vertical	1	Conn_01x04_Pin	
"J10, J4, J7, J8, J9"	"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal"	5	Screw_Terminal_01x02	
"J2, J3, J5, J6"	"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal"	4	Screw_Terminal_01x04	
"Q1, Q2, Q3, Q4"	SOT-23	4	FDV305N	C154511
"R1, R4, R5, R6, R7, R8"	805	6	10k	C84376
"R10, R11, R12, R13"	805	4	30	C2907256
"R2, R3"	805	2	4.7k	C2907326
R9	805	1	1k	C2907295
SW1	SW_SPST_PTS645Sx43SMTR92	1	Reset button	C22375342
"TP1, TP2, TP3, TP4, TP5, TP6"	TestPoint_Pad_D2.0mm	6	TestPoint	
U1	LQFP-64_10x10mm_P0.5mm	1	STM32F446RETx	C69336
U2	SOIC-16W_7.5x10.3mm_P1.27mm	1	DS3231M	C9866
"U3, U4"	SOIC-16_3.9x9.9mm_P1.27mm	2	MAX3232ESE	C143435
U5	TO-220-3_Horizontal_TabDown	1	BA033CC0T	C184572
Y1	Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering	1	16MHz	C13738
